,worker_id,label,reward,value_surplus,seq_length,front_amount
262,435064,0,reward_12m_185,60,12m,185
263,435065,1,reward_12m_185,15,12m,185
264,435066,0,reward_12m_185,60,12m,185
265,435067,0,reward_12m_185,60,12m,185
266,435068,1,reward_12m_185,35,12m,185
267,435069,0,reward_12m_185,80,12m,185
268,435070,0,reward_12m_185,55,12m,185
269,435072,0,reward_12m_185,35,12m,185
270,435074,1,reward_12m_185,40,12m,185
271,435075,1,reward_12m_185,60,12m,185
272,435076,1,reward_12m_185,25,12m,185
273,435077,0,reward_12m_185,5,12m,185
274,435079,0,reward_12m_185,60,12m,185
275,435080,0,reward_12m_185,45,12m,185
276,435081,1,reward_12m_185,15,12m,185
277,435083,0,reward_12m_185,50,12m,185
278,435084,1,reward_12m_185,0,12m,185
279,435086,0,reward_12m_185,65,12m,185
280,435087,0,reward_12m_185,65,12m,185
281,435089,0,reward_12m_185,55,12m,185
282,435092,0,reward_12m_185,60,12m,185
283,435093,1,reward_12m_185,-5,12m,185
284,435095,0,reward_12m_185,60,12m,185
285,435096,0,reward_12m_185,60,12m,185
286,435097,0,reward_12m_185,-40,12m,185
287,435098,1,reward_12m_185,55,12m,185
288,435099,0,reward_12m_185,65,12m,185
289,435100,1,reward_12m_185,55,12m,185
290,435101,1,reward_12m_185,15,12m,185
291,435103,0,reward_12m_185,60,12m,185
292,435104,1,reward_12m_185,15,12m,185
293,435105,0,reward_12m_185,60,12m,185
294,435106,0,reward_12m_185,60,12m,185
295,435107,1,reward_12m_185,25,12m,185
296,435108,1,reward_12m_185,45,12m,185
297,435110,0,reward_12m_185,60,12m,185
298,435111,0,reward_12m_185,60,12m,185
299,435113,1,reward_12m_185,45,12m,185
300,435114,0,reward_12m_185,60,12m,185
301,435115,0,reward_12m_185,55,12m,185
302,435116,0,reward_12m_185,90,12m,185
303,435117,0,reward_12m_185,-40,12m,185
304,435118,0,reward_12m_185,60,12m,185
305,435119,1,reward_12m_185,35,12m,185
306,435120,0,reward_12m_185,75,12m,185
307,435121,0,reward_12m_185,35,12m,185
308,435122,0,reward_12m_185,60,12m,185
309,435123,1,reward_12m_185,35,12m,185
310,435124,1,reward_12m_185,55,12m,185
311,435130,0,reward_12m_185,35,12m,185
312,435131,0,reward_12m_185,55,12m,185
313,435132,1,reward_12m_185,0,12m,185
314,434923,0,reward_12m_25,60,12m,25
315,434926,0,reward_12m_25,60,12m,25
316,434927,0,reward_12m_25,65,12m,25
317,434928,1,reward_12m_25,25,12m,25
318,434930,0,reward_12m_25,60,12m,25
319,434931,0,reward_12m_25,60,12m,25
320,434932,0,reward_12m_25,75,12m,25
321,434934,0,reward_12m_25,55,12m,25
322,434935,1,reward_12m_25,55,12m,25
323,434936,1,reward_12m_25,35,12m,25
324,434937,1,reward_12m_25,0,12m,25
325,434940,0,reward_12m_25,60,12m,25
326,434941,0,reward_12m_25,60,12m,25
327,434942,1,reward_12m_25,35,12m,25
328,434943,0,reward_12m_25,60,12m,25
329,434944,0,reward_12m_25,60,12m,25
330,434945,0,reward_12m_25,60,12m,25
331,434946,1,reward_12m_25,55,12m,25
332,434947,0,reward_12m_25,60,12m,25
333,434949,1,reward_12m_25,45,12m,25
334,434952,0,reward_12m_25,60,12m,25
335,434953,1,reward_12m_25,60,12m,25
336,434954,0,reward_12m_25,60,12m,25
337,434955,0,reward_12m_25,60,12m,25
338,434957,0,reward_12m_25,55,12m,25
339,434958,0,reward_12m_25,60,12m,25
340,434959,0,reward_12m_25,55,12m,25
341,434960,0,reward_12m_25,75,12m,25
342,434961,0,reward_12m_25,60,12m,25
343,434962,0,reward_12m_25,60,12m,25
344,434963,0,reward_12m_25,49,12m,25
345,434964,0,reward_12m_25,65,12m,25
346,434966,1,reward_12m_25,60,12m,25
347,434967,0,reward_12m_25,75,12m,25
348,434968,0,reward_12m_25,60,12m,25
349,434971,0,reward_12m_25,60,12m,25
350,434974,1,reward_12m_25,60,12m,25
351,434976,0,reward_12m_25,60,12m,25
352,434977,1,reward_12m_25,60,12m,25
353,434978,0,reward_12m_25,60,12m,25
354,434979,1,reward_12m_25,55,12m,25
355,434980,0,reward_12m_25,75,12m,25
356,434981,0,reward_12m_25,60,12m,25
357,434982,0,reward_12m_25,60,12m,25
358,434983,0,reward_12m_25,60,12m,25
359,434984,0,reward_12m_25,55,12m,25
